doc_a,doc_b,correl,euclidean,cosine,cityblock,jaccard,js
2,1,0.6344350390596024,0.771666098762653,0.29773428398978585,0.6002130387876339,0.050100200400801605,0.27706663676556254
3,1,0.5937553782709131,0.7450053083856434,0.2775164547613935,0.6234642011325929,0.046,0.2874238441991089
3,2,0.684542113326642,0.7470949216994027,0.2790754110145176,0.6105119099325536,0.043,0.28419655878944533
4,1,0.6318044245212797,0.7269350520240847,0.2642172849306299,0.6168000329264125,0.043,0.2850250456112637
4,2,0.6902285424778576,0.8312474991103087,0.3454862023885712,0.6764443164122725,0.043,0.3116583847629874
4,3,0.7048064538460566,0.9042625491738909,0.4088453789192329,0.6826057996551366,0.046,0.3349579876068543
5,1,0.5891537929488844,0.675245038247476,0.22797793083891726,0.5049887261627348,0.014,0.24305329900787995
5,2,0.7642769474590081,0.6248818650144222,0.19523867261195016,0.4812072585612681,0.011,0.22958479054310274
5,3,0.6312640106511856,0.6501923976756215,0.2113750769975864,0.4889842533170015,0.011,0.23232364568319303
5,4,0.6102554730875952,0.6399937493236292,0.20479599958665806,0.5385102933231636,0.011,0.2506403551593283
6,1,0.8085252860024037,0.775045616619962,0.30034785392091,0.5617664119725576,0.014,0.2868148603592451
6,2,0.6966707164606379,0.6192391875930443,0.19172858572544527,0.4876597033501435,0.003,0.22845684617005732
6,3,0.8384143349808096,0.5829830622853832,0.1699346254558204,0.48857329000259114,0.003,0.2196932984102497
6,4,0.7684950436736939,0.6885274813926533,0.2370350463164549,0.5474075028219831,0.003,0.2497609885703862
6,5,0.7415639533386398,0.7745424277564168,0.29995798619740144,0.5721331619806143,0.006,0.2853079180292014
7,1,0.9716722032496129,0.4964654263115073,0.12323895976133215,0.3811924323690757,0.0,0.18271443606952484
7,2,1.0124262887037023,0.5848610722755903,0.17103123693167543,0.466224020616367,0.0,0.21354890462841175
7,3,1.043627487756611,0.6343639114904114,0.2012087861007077,0.45514492949003077,0.003,0.24208159977227628
7,4,0.8794846600732661,0.5672589569676408,0.16089136213000832,0.43246538883789326,0.0,0.19620478412493053
7,5,0.9959229029328516,0.6662207467027358,0.22192504166857652,0.48613433962947444,0.003,0.24345852667718929
7,6,0.9381588041720341,0.6749456898692677,0.22777584213654978,0.48786898256079925,0.003,0.24350098012931723
